datetime,station,date,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh,era5_noon_t2m,era5_noon_evavt,era5_noon_ro,era5_noon_sd,era5_noon_es,era5_noon_sf,era5_noon_smlt,era5_noon_stl1,era5_noon_ssr,era5_noon_e,era5_noon_tp
2009-01-01,07OB001,1/1/2009,13.3,-28.1,-35.4,-31.8,49.8,0.0,0.0,0.8,0.4,0.4,,<31,242.70926453009608,-1.543350951581889e-05,0.0001773206185148443,0.04810876373130815,-2.5793603708544083e-06,0.0006792964629573143,-1.862645149230957e-09,272.3985135551254,22913.698757457314,-1.65275041011507e-05,0.0006831771186792956
2009-01-02,07OB001,1/2/2009,12.9,-31.0,-37.3,-34.2,52.2,0.0,0.0,0.2,0.2,0.2,,<31,237.70839852966301,-1.724798377194216e-05,0.00017695344357698616,0.048219766596257714,-6.0732351715229754e-06,3.6679774048754474e-05,-1.862645149230957e-09,272.3659323388665,38621.4995840878,-1.9771615382896958e-05,3.89345477511055e-05
2009-01-03,07OB001,1/3/2009,12.5,-30.4,-36.5,-33.5,51.5,0.0,0.0,0.0,0.0,0.0,,<31,240.0217158595256,-7.667597392406486e-06,0.00017671333459056817,0.04835535320444512,9.994891965297434e-07,0.00015756503122000065,-1.862645149230957e-09,272.3254912643747,36414.741907389034,-2.599476869160666e-06,0.0001605304372045328
2009-01-04,07OB001,1/4/2009,12.1,-25.3,-37.0,-31.2,49.2,0.0,0.0,0.0,0.0,0.0,,<31,241.58347131590472,-2.124790244372294e-06,0.00017647296588238804,0.04851810192096715,-1.798651141012675e-06,0.0002333276310709684,-1.862645149230957e-09,272.30560246655756,42003.119627105916,-5.29426379686527e-07,0.00023486222435425554
2009-01-05,07OB001,1/5/2009,11.8,-19.9,-26.4,-23.2,41.2,0.0,0.0,5.4,4.0,4.0,,<31,252.5587229154372,8.539026922289763e-06,0.0001762330549251259,0.049653213268640015,1.9897539046641849e-07,0.0015977721093643701,-1.862645149230957e-09,272.32954499343765,15036.391799247629,8.259250601451025e-06,0.0016009431590239785
2009-01-06,07OB001,1/6/2009,11.7,-24.4,-28.6,-26.5,44.5,0.0,0.0,5.8,3.4,3.4,,<31,247.1096608776631,-4.884131337302689e-05,0.00017589013263310542,0.052046394036670336,-4.024501924493711e-05,0.0024920437376077303,-1.862645149230957e-09,272.35631955586905,25965.961676219056,-8.907165224892672e-05,0.002497185081287174
2009-01-07,07OB001,1/7/2009,11.4,-28.6,-36.8,-32.7,50.7,0.0,0.0,0.8,0.2,0.2,,<31,241.67024151547736,-3.8720290144908454e-05,0.00017555380215757716,0.05270420152151225,-2.0677332390828365e-05,0.00043097030559896695,-1.862645149230957e-09,272.3433024486231,47450.91796936542,-5.944186734237047e-05,0.00043262857302209766
2009-01-08,07OB001,1/8/2009,10.8,-27.3,-33.0,-30.2,48.2,0.0,0.0,0.8,0.2,0.2,,<31,242.1930671564699,-1.5896714381059226e-05,0.00017531388980342706,0.053198038834332086,-6.793492174319075e-06,0.0006279858170137212,-1.862645149230957e-09,272.3170997535917,40198.734392995124,-2.2366301963043917e-05,0.0006319330450124632
2009-01-09,07OB001,1/9/2009,10.7,-29.3,-36.2,-32.8,50.8,0.0,0.0,0.0,0.0,0.0,,<31,240.6182332116005,-5.474089913492947e-06,0.0001750430505673613,0.053198038834332086,-4.811506676067181e-06,1.4726122380450683e-06,-1.862645149230957e-09,272.2908214079023,56173.48479144881,-9.642398631875222e-06,2.814835102718869e-06
2009-01-10,07OB001,1/10/2009,10.5,-26.8,-36.3,-31.6,49.6,0.0,0.0,0.0,0.0,0.0,,<31,242.8342032018099,-2.472193715934206e-06,0.00017480268081147525,0.05358985825362189,-6.415655637771647e-06,0.0005704970149265701,-1.862645149230957e-09,272.2704241720012,48387.542310159806,-8.803469251094423e-06,0.0005737950951192279
