datetime,station,date,day_of_year,station_id,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh,era5_noon_t2m,era5_noon_evavt,era5_noon_ro,era5_noon_sd,era5_noon_es,era5_noon_sf,era5_noon_smlt,era5_noon_stl1,era5_noon_ssr,era5_noon_e,era5_noon_tp
1/1/2009,07OB001,1/1/2009,1,4,13.3,-28.1,-35.4,-31.8,49.8,0,0,0.8,0.4,0.4,,<31,242.7092645,-1.54E-05,0.000177321,0.048108764,-2.58E-06,0.000679296,-1.86E-09,272.3985136,22913.69876,-1.65E-05,0.000683177
1/2/2009,07OB001,1/2/2009,2,4,12.9,-31,-37.3,-34.2,52.2,0,0,0.2,0.2,0.2,,<31,237.7083985,-1.72E-05,0.000176953,0.048219767,-6.07E-06,3.67E-05,-1.86E-09,272.3659323,38621.49958,-1.98E-05,3.89E-05
1/3/2009,07OB001,1/3/2009,3,4,12.5,-30.4,-36.5,-33.5,51.5,0,0,0,0,0,,<31,240.0217159,-7.67E-06,0.000176713,0.048355353,9.99E-07,0.000157565,-1.86E-09,272.3254913,36414.74191,-2.60E-06,0.00016053
1/4/2009,07OB001,1/4/2009,4,4,12.1,-25.3,-37,-31.2,49.2,0,0,0,0,0,,<31,241.5834713,-2.12E-06,0.000176473,0.048518102,-1.80E-06,0.000233328,-1.86E-09,272.3056025,42003.11963,-5.29E-07,0.000234862
1/5/2009,07OB001,1/5/2009,5,4,11.8,-19.9,-26.4,-23.2,41.2,0,0,5.4,4,4,,<31,252.5587229,8.54E-06,0.000176233,0.049653213,1.99E-07,0.001597772,-1.86E-09,272.329545,15036.3918,8.26E-06,0.001600943
1/6/2009,07OB001,1/6/2009,6,4,11.7,-24.4,-28.6,-26.5,44.5,0,0,5.8,3.4,3.4,,<31,247.1096609,-4.88E-05,0.00017589,0.052046394,-4.02E-05,0.002492044,-1.86E-09,272.3563196,25965.96168,-8.91E-05,0.002497185
1/7/2009,07OB001,1/7/2009,7,4,11.4,-28.6,-36.8,-32.7,50.7,0,0,0.8,0.2,0.2,,<31,241.6702415,-3.87E-05,0.000175554,0.052704202,-2.07E-05,0.00043097,-1.86E-09,272.3433024,47450.91797,-5.94E-05,0.000432629
1/8/2009,07OB001,1/8/2009,8,4,10.8,-27.3,-33,-30.2,48.2,0,0,0.8,0.2,0.2,,<31,242.1930672,-1.59E-05,0.000175314,0.053198039,-6.79E-06,0.000627986,-1.86E-09,272.3170998,40198.73439,-2.24E-05,0.000631933
1/9/2009,07OB001,1/9/2009,9,4,10.7,-29.3,-36.2,-32.8,50.8,0,0,0,0,0,,<31,240.6182332,-5.47E-06,0.000175043,0.053198039,-4.81E-06,1.47E-06,-1.86E-09,272.2908214,56173.48479,-9.64E-06,2.81E-06
1/10/2009,07OB001,1/10/2009,10,4,10.5,-26.8,-36.3,-31.6,49.6,0,0,0,0,0,,<31,242.8342032,-2.47E-06,0.000174803,0.053589858,-6.42E-06,0.000570497,-1.86E-09,272.2704242,48387.54231,-8.80E-06,0.000573795
1/11/2009,07OB001,1/11/2009,11,4,10.4,-31.3,-39.3,-35.3,53.3,0,0,0,0,0,,<31,239.0774885,-3.58E-06,0.000174292,0.053600135,-2.40E-07,4.55E-06,-1.86E-09,272.239219,54260.36065,1.92E-06,6.94E-06
1/12/2009,07OB001,1/12/2009,12,4,10.2,-24.1,-42,-33.1,51.1,0,0,0,0,0,,<31,237.1914849,-2.60E-06,0.000174051,0.053609052,3.96E-07,5.08E-06,-1.86E-09,272.1757616,63356.683,2.13E-06,8.36E-06
1/13/2009,07OB001,1/13/2009,13,4,9.9,-23.9,-36.9,-30.4,48.4,0,0,0,0,0,,<31,246.9574611,5.16E-06,0.000173811,0.05441929,-3.74E-06,0.001111198,-1.86E-09,272.1990874,43061.8062,-1.92E-06,0.001114362
