,LR,Hidden_Layer_Size,Val_R2
0,0.1,100,0.8459723796194614
1,0.1,300,0.8686658112317873
2,0.1,500,0.8743661493600887
3,0.1,700,0.8693471295590072
4,0.1,900,0.8645568807071731
5,0.01,100,0.8532263855011972
6,0.01,300,0.8814721749012056
7,0.01,500,0.8562438857516914
8,0.01,700,0.8685232926179092
9,0.01,900,0.8624600736031343
10,0.001,100,0.8489850294985952
11,0.001,300,0.8845988312050967
12,0.001,500,0.8478659033502669
13,0.001,700,0.8646493677171491
14,0.001,900,0.8876435015060851
15,0.0001,100,0.8462709648891193
16,0.0001,300,0.8644347879517769
17,0.0001,500,0.845689940589994
18,0.0001,700,0.8314111291244592
19,0.0001,900,0.8773640914543016
