,LR,Hidden_Layer_Size,Val_R2
0,0.1,100,0.11654595691434966
1,0.1,300,0.020837103558772885
2,0.1,500,0.2663251237234575
3,0.1,700,0.1928672661597619
4,0.1,900,0.3951927049764534
5,0.01,100,0.11095050093377523
6,0.01,300,0.011115874919890079
7,0.01,500,0.23545734042588862
8,0.01,700,0.25029926634743593
9,0.01,900,0.41028551896401877
10,0.001,100,0.0860635444541108
11,0.001,300,0.028208955482560527
12,0.001,500,0.23982518156571975
13,0.001,700,0.320365930692593
14,0.001,900,0.4079256938194361
15,0.0001,100,0.07358305381746566
16,0.0001,300,-0.013893618041216804
17,0.0001,500,0.21911081383688014
18,0.0001,700,0.3050878969880997
19,0.0001,900,0.3928941640904725
