" ID	PARAM	Date	Value	SYM"
"07SA004	1	8/27/1977	3.45	"
"07SA004	1	8/28/1977	3.34	"
"07SA004	1	8/29/1977	3.48	"
"07SA004	1	8/30/1977	3.31	"
"07SA004	1	8/31/1977	3.23	"
"07SA004	1	9/1/1977	3.11	"
"07SA004	1	9/2/1977	3.03	"
"07SA004	1	9/3/1977	2.97	"
"07SA004	1	9/4/1977	2.92	"
"07SA004	1	9/5/1977	2.86	"
"07SA004	1	9/6/1977	2.8	"
"07SA004	1	9/7/1977	2.74	"
"07SA004	1	9/8/1977	2.73	"
"07SA004	1	9/9/1977	2.67	"
"07SA004	1	9/10/1977	2.66	"
"07SA004	1	9/11/1977	2.65	"
"07SA004	1	9/12/1977	2.6	"
"07SA004	1	9/13/1977	2.62	"
"07SA004	1	9/14/1977	2.51	"
"07SA004	1	9/15/1977	2.44	"
"07SA004	1	9/16/1977	2.42	"
"07SA004	1	9/17/1977	2.43	"
"07SA004	1	9/18/1977	2.42	"
"07SA004	1	9/19/1977	2.36	"
"07SA004	1	9/20/1977	2.36	"
"07SA004	1	9/21/1977	2.37	"
"07SA004	1	9/22/1977	2.36	"
"07SA004	1	9/23/1977	2.34	"
"07SA004	1	9/24/1977	2.4	"
"07SA004	1	9/25/1977	2.46	"
"07SA004	1	9/26/1977	2.46	"
"07SA004	1	9/27/1977	2.46	"
"07SA004	1	9/28/1977	2.39	"
"07SA004	1	9/29/1977	2.33	"
"07SA004	1	9/30/1977	2.34	"
"07SA004	1	10/1/1977	2.36	"
"07SA004	1	10/2/1977	2.53	"
"07SA004	1	10/3/1977	2.56	"
"07SA004	1	10/4/1977	2.49	"
"07SA004	1	10/5/1977	2.44	"
"07SA004	1	10/6/1977	2.4	"
"07SA004	1	10/7/1977	2.39	"
"07SA004	1	10/8/1977	2.4	"
"07SA004	1	10/9/1977	2.38	B"
"07SA004	1	10/10/1977	2.35	B"
"07SA004	1	10/11/1977	2.32	B"
"07SA004	1	10/12/1977	2.29	B"
"07SA004	1	10/13/1977	2.27	B"
"07SA004	1	10/14/1977	2.27	B"
"07SA004	1	10/15/1977	2.27	B"
"07SA004	1	10/16/1977	2.27	B"
"07SA004	1	10/17/1977	2.27	B"
"07SA004	1	10/18/1977	2.27	B"
"07SA004	1	10/19/1977	2.27	B"
"07SA004	1	10/20/1977	2.27	B"
"07SA004	1	10/21/1977	2.27	B"
