 ID	PARAM	Date	Value	SYM
07SB013	1	1/1/1983	0	E
07SB013	1	1/2/1983	0	E
07SB013	1	1/3/1983	0	E
07SB013	1	1/4/1983	0	E
07SB013	1	1/5/1983	0	E
07SB013	1	1/6/1983	0	E
07SB013	1	1/7/1983	0	E
07SB013	1	1/8/1983	0	E
07SB013	1	1/9/1983	0	E
07SB013	1	1/10/1983	0	E
07SB013	1	1/11/1983	0	E
07SB013	1	1/12/1983	0	E
07SB013	1	1/13/1983	0	E
07SB013	1	1/14/1983	0	E
07SB013	1	1/15/1983	0	E
07SB013	1	1/16/1983	0	E
07SB013	1	1/17/1983	0	E
07SB013	1	1/18/1983	0	E
07SB013	1	1/19/1983	0	E
07SB013	1	1/20/1983	0	E
07SB013	1	1/21/1983	0.001	E
07SB013	1	1/22/1983	0.001	E
07SB013	1	1/23/1983	0.001	E
07SB013	1	1/24/1983	0.001	E
07SB013	1	1/25/1983	0.001	E
07SB013	1	1/26/1983	0.001	E
07SB013	1	1/27/1983	0.002	E
07SB013	1	1/28/1983	0.002	E
07SB013	1	1/29/1983	0.003	E
07SB013	1	1/30/1983	0.003	E
07SB013	1	1/31/1983	0.004	E
07SB013	1	2/1/1983	0.004	E
07SB013	1	2/2/1983	0.005	E
07SB013	1	2/3/1983	0.006	E
07SB013	1	2/4/1983	0.007	E
07SB013	1	2/5/1983	0.008	E
07SB013	1	2/6/1983	0.01	E
07SB013	1	2/7/1983	0.012	E
07SB013	1	2/8/1983	0.014	E
07SB013	1	2/9/1983	0.016	E
07SB013	1	2/10/1983	0.018	E
07SB013	1	2/11/1983	0.021	E
07SB013	1	2/12/1983	0.022	E
07SB013	1	2/13/1983	0.024	E
07SB013	1	2/14/1983	0.026	E
07SB013	1	2/15/1983	0.028	E
07SB013	1	2/16/1983	0.03	E
07SB013	1	2/17/1983	0.033	E
07SB013	1	2/18/1983	0.036	E
07SB013	1	2/19/1983	0.039	E
07SB013	1	2/20/1983	0.043	E
07SB013	1	2/21/1983	0.048	E
07SB013	1	2/22/1983	0.052	E
07SB013	1	2/23/1983	0.057	E
07SB013	1	2/24/1983	0.061	E
07SB013	1	2/25/1983	0.065	E
07SB013	1	2/26/1983	0.066	E
07SB013	1	2/27/1983	0.068	E
07SB013	1	2/28/1983	0.07	E
07SB013	1	3/1/1983	0.074	E
07SB013	1	3/2/1983	0.075	E
07SB013	1	3/3/1983	0.077	E
07SB013	1	3/4/1983	0.078	E
07SB013	1	3/5/1983	0.079	E
07SB013	1	3/6/1983	0.079	E
07SB013	1	3/7/1983	0.078	E
07SB013	1	3/8/1983	0.076	E
07SB013	1	3/9/1983	0.073	E
07SB013	1	3/10/1983	0.07	E
07SB013	1	3/11/1983	0.066	E
07SB013	1	3/12/1983	0.063	E
07SB013	1	3/13/1983	0.059	E
07SB013	1	3/14/1983	0.056	E
07SB013	1	3/15/1983	0.053	E
07SB013	1	3/16/1983	0.051	E
07SB013	1	3/17/1983	0.051	E
07SB013	1	3/18/1983	0.05	E
07SB013	1	3/19/1983	0.05	E
07SB013	1	3/20/1983	0.049	E
07SB013	1	3/21/1983	0.049	E
07SB013	1	3/22/1983	0.049	E
07SB013	1	3/23/1983	0.049	E
07SB013	1	3/24/1983	0.048	E
07SB013	1	3/25/1983	0.048	E
07SB013	1	3/26/1983	0.048	E
07SB013	1	3/27/1983	0.048	E
07SB013	1	3/28/1983	0.048	E
07SB013	1	3/29/1983	0.048	E
07SB013	1	3/30/1983	0.047	E
07SB013	1	3/31/1983	0.047	E
07SB013	1	4/1/1983	0.047	E
07SB013	1	4/2/1983	0.047	E
07SB013	1	4/3/1983	0.047	E
07SB013	1	4/4/1983	0.047	E
07SB013	1	4/5/1983	0.047	E
07SB013	1	4/6/1983	0.047	E
07SB013	1	4/7/1983	0.047	E
07SB013	1	4/8/1983	0.048	E
07SB013	1	4/9/1983	0.048	E
07SB013	1	4/10/1983	0.048	E
07SB013	1	4/11/1983	0.048	E
07SB013	1	4/12/1983	0.048	E
07SB013	1	4/13/1983	0.049	E
07SB013	1	4/14/1983	0.049	E
07SB013	1	4/15/1983	0.049	E
07SB013	1	4/16/1983	0.049	E
07SB013	1	4/17/1983	0.05	E
07SB013	1	4/18/1983	0.05	E
07SB013	1	4/19/1983	0.051	E
07SB013	1	4/20/1983	0.052	E
07SB013	1	4/21/1983	0.053	E
07SB013	1	4/22/1983	0.054	E
07SB013	1	4/23/1983	0.055	E
07SB013	1	4/24/1983	0.056	E
07SB013	1	4/25/1983	0.057	E
07SB013	1	4/26/1983	0.058	E
07SB013	1	4/27/1983	0.059	E
07SB013	1	4/28/1983	0.06	E
07SB013	1	4/29/1983	0.061	E
07SB013	1	4/30/1983	0.062	E
07SB013	1	5/1/1983	0.064	E
07SB013	1	5/2/1983	0.065	E
07SB013	1	5/3/1983	0.066	E
07SB013	1	5/4/1983	0.067	E
07SB013	1	5/5/1983	0.068	E
07SB013	1	5/6/1983	0.07	E
07SB013	1	5/7/1983	0.071	E
07SB013	1	5/8/1983	0.072	E
07SB013	1	5/9/1983	0.074	E
07SB013	1	5/10/1983	0.076	E
07SB013	1	5/11/1983	0.078	E
07SB013	1	5/12/1983	0.08	E
07SB013	1	5/13/1983	0.082	E
07SB013	1	5/14/1983	0.084	E
07SB013	1	5/15/1983	0.087	E
07SB013	1	5/16/1983	0.09	E
07SB013	1	5/17/1983	0.094	A
07SB013	1	5/18/1983	0.1	E
07SB013	1	5/19/1983	0.105	E
07SB013	1	5/20/1983	0.11	E
07SB013	1	5/21/1983	0.117	E
07SB013	1	5/22/1983	0.127	E
07SB013	1	5/23/1983	0.139	E
07SB013	1	5/24/1983	0.151	E
07SB013	1	5/25/1983	0.165	E
07SB013	1	5/26/1983	0.18	E
07SB013	1	5/27/1983	0.198	E
07SB013	1	5/28/1983	0.22	E
07SB013	1	5/29/1983	0.25	E
07SB013	1	5/30/1983	0.285	A
07SB013	1	5/31/1983	0.345	E
07SB013	1	6/1/1983	0.39	A
07SB013	1	6/2/1983	0.42	E
07SB013	1	6/3/1983	0.44	E
07SB013	1	6/4/1983	0.47	E
07SB013	1	6/5/1983	0.5	E
07SB013	1	6/6/1983	0.536	A
07SB013	1	6/7/1983	0.617	
07SB013	1	6/8/1983	0.652	
07SB013	1	6/9/1983	0.648	
07SB013	1	6/10/1983	0.653	
07SB013	1	6/11/1983	0.659	
07SB013	1	6/12/1983	0.674	
07SB013	1	6/13/1983	0.684	
07SB013	1	6/14/1983	0.71	
07SB013	1	6/15/1983	0.764	
07SB013	1	6/16/1983	0.754	
07SB013	1	6/17/1983	0.71	
07SB013	1	6/18/1983	0.636	
07SB013	1	6/19/1983	0.581	
07SB013	1	6/20/1983	0.587	
07SB013	1	6/21/1983	0.597	
07SB013	1	6/22/1983	0.543	
07SB013	1	6/23/1983	0.44	
07SB013	1	6/24/1983	0.377	
07SB013	1	6/25/1983	0.345	
07SB013	1	6/26/1983	0.308	
07SB013	1	6/27/1983	0.278	
07SB013	1	6/28/1983	0.259	
07SB013	1	6/29/1983	0.236	
07SB013	1	6/30/1983	0.222	
07SB013	1	7/1/1983	0.214	
07SB013	1	7/2/1983	0.19	
07SB013	1	7/3/1983	0.169	
07SB013	1	7/4/1983	0.163	
07SB013	1	7/5/1983	0.146	
07SB013	1	7/6/1983	0.129	
07SB013	1	7/7/1983	0.129	
07SB013	1	7/8/1983	0.123	
07SB013	1	7/9/1983	0.119	
07SB013	1	7/10/1983	0.115	
07SB013	1	7/11/1983	0.112	
07SB013	1	7/12/1983	0.109	
07SB013	1	7/13/1983	0.105	
07SB013	1	7/14/1983	0.099	
07SB013	1	7/15/1983	0.09	
07SB013	1	7/16/1983	0.097	
07SB013	1	7/17/1983	0.102	
07SB013	1	7/18/1983	0.106	
07SB013	1	7/19/1983	0.107	
07SB013	1	7/20/1983	0.114	
07SB013	1	7/21/1983	0.114	
07SB013	1	7/22/1983	0.114	
07SB013	1	7/23/1983	0.113	
07SB013	1	7/24/1983	0.11	
07SB013	1	7/25/1983	0.106	
07SB013	1	7/26/1983	0.104	
07SB013	1	7/27/1983	0.101	
07SB013	1	7/28/1983	0.096	
07SB013	1	7/29/1983	0.094	
07SB013	1	7/30/1983	0.099	
07SB013	1	7/31/1983	0.103	
07SB013	1	8/1/1983	0.106	
07SB013	1	8/2/1983	0.111	
07SB013	1	8/3/1983	0.115	
07SB013	1	8/4/1983	0.122	
07SB013	1	8/5/1983	0.121	
07SB013	1	8/6/1983	0.12	
07SB013	1	8/7/1983	0.117	
07SB013	1	8/8/1983	0.113	
07SB013	1	8/9/1983	0.11	
07SB013	1	8/10/1983	0.107	
07SB013	1	8/11/1983	0.102	
07SB013	1	8/12/1983	0.099	
07SB013	1	8/13/1983	0.095	
07SB013	1	8/14/1983	0.092	
07SB013	1	8/15/1983	0.092	
07SB013	1	8/16/1983	0.091	
07SB013	1	8/17/1983	0.09	
07SB013	1	8/18/1983	0.088	
07SB013	1	8/19/1983	0.086	
07SB013	1	8/20/1983	0.082	
07SB013	1	8/21/1983	0.078	
07SB013	1	8/22/1983	0.076	
07SB013	1	8/23/1983	0.075	
07SB013	1	8/24/1983	0.074	
07SB013	1	8/25/1983	0.073	
07SB013	1	8/26/1983	0.07	
07SB013	1	8/27/1983	0.067	
07SB013	1	8/28/1983	0.064	
07SB013	1	8/29/1983	0.062	
07SB013	1	8/30/1983	0.06	
07SB013	1	8/31/1983	0.059	
07SB013	1	9/1/1983	0.057	
07SB013	1	9/2/1983	0.056	
07SB013	1	9/3/1983	0.054	
07SB013	1	9/4/1983	0.053	
07SB013	1	9/5/1983	0.052	
07SB013	1	9/6/1983	0.05	
07SB013	1	9/7/1983	0.048	
07SB013	1	9/8/1983	0.046	
07SB013	1	9/9/1983	0.045	
07SB013	1	9/10/1983	0.044	
07SB013	1	9/11/1983	0.044	
07SB013	1	9/12/1983	0.043	
07SB013	1	9/13/1983	0.042	
07SB013	1	9/14/1983	0.041	
07SB013	1	9/15/1983	0.04	
07SB013	1	9/16/1983	0.039	
07SB013	1	9/17/1983	0.036	
07SB013	1	9/18/1983	0.034	
07SB013	1	9/19/1983	0.033	
07SB013	1	9/20/1983	0.033	
07SB013	1	9/21/1983	0.031	
07SB013	1	9/22/1983	0.031	
07SB013	1	9/23/1983	0.03	
07SB013	1	9/24/1983	0.03	
07SB013	1	9/25/1983	0.03	
07SB013	1	9/26/1983	0.029	
07SB013	1	9/27/1983	0.035	
07SB013	1	9/28/1983	0.036	
07SB013	1	9/29/1983	0.036	
07SB013	1	9/30/1983	0.035	
07SB013	1	10/1/1983	0.035	
07SB013	1	10/2/1983	0.035	
07SB013	1	10/3/1983	0.036	
07SB013	1	10/4/1983	0.036	
07SB013	1	10/5/1983	0.036	
07SB013	1	10/6/1983	0.036	
07SB013	1	10/7/1983	0.036	
07SB013	1	10/8/1983	0.036	
07SB013	1	10/9/1983	0.037	
07SB013	1	10/10/1983	0.039	
07SB013	1	10/11/1983	0.038	
07SB013	1	10/12/1983	0.039	
07SB013	1	10/13/1983	0.028	
07SB013	1	10/14/1983	0.028	
07SB013	1	10/15/1983	0.028	
07SB013	1	10/16/1983	0.03	
07SB013	1	10/17/1983	0.03	
07SB013	1	10/18/1983	0.043	
07SB013	1	10/19/1983	0.04	
07SB013	1	10/20/1983	0.03	
07SB013	1	10/21/1983	0.031	
07SB013	1	10/22/1983	0.043	
07SB013	1	10/23/1983	0.035	
07SB013	1	10/24/1983	0.031	
07SB013	1	10/25/1983	0.032	
07SB013	1	10/26/1983	0.034	
07SB013	1	10/27/1983	0.03	
07SB013	1	10/28/1983	0.029	
07SB013	1	10/29/1983	0.032	
07SB013	1	10/30/1983	0.044	
07SB013	1	10/31/1983	0.034	
07SB013	1	11/1/1983	0.033	
07SB013	1	11/2/1983	0.045	
07SB013	1	11/3/1983	0.05	
07SB013	1	11/4/1983	0.05	
07SB013	1	11/5/1983	0.038	
07SB013	1	11/6/1983	0.035	
07SB013	1	11/7/1983	0.031	
07SB013	1	11/8/1983	0.009	
07SB013	1	11/9/1983	0.018	
07SB013	1	11/10/1983	0.026	
07SB013	1	11/11/1983	0.041	
07SB013	1	11/12/1983	0.041	
07SB013	1	11/13/1983	0.041	
07SB013	1	11/14/1983	0.044	
07SB013	1	11/15/1983	0.045	
07SB013	1	11/16/1983	0.053	
07SB013	1	11/17/1983	0.057	
07SB013	1	11/18/1983	0.043	
07SB013	1	11/19/1983	0.038	
07SB013	1	11/20/1983	0.043	
07SB013	1	11/21/1983	0.049	
07SB013	1	11/22/1983	0.052	
07SB013	1	11/23/1983	0.057	
07SB013	1	11/24/1983	0.052	
07SB013	1	11/25/1983	0.05	A
07SB013	1	11/26/1983	0.05	E
07SB013	1	11/27/1983	0.05	E
07SB013	1	11/28/1983	0.051	E
07SB013	1	11/29/1983	0.052	E
07SB013	1	11/30/1983	0.053	E
07SB013	1	12/1/1983	0.054	E
07SB013	1	12/2/1983	0.056	E
07SB013	1	12/3/1983	0.057	E
07SB013	1	12/4/1983	0.059	E
07SB013	1	12/5/1983	0.06	E
07SB013	1	12/6/1983	0.062	E
07SB013	1	12/7/1983	0.064	E
07SB013	1	12/8/1983	0.065	E
07SB013	1	12/9/1983	0.067	E
07SB013	1	12/10/1983	0.068	E
07SB013	1	12/11/1983	0.07	E
07SB013	1	12/12/1983	0.073	E
07SB013	1	12/13/1983	0.075	E
07SB013	1	12/14/1983	0.077	E
07SB013	1	12/15/1983	0.079	E
07SB013	1	12/16/1983	0.08	E
07SB013	1	12/17/1983	0.08	E
07SB013	1	12/18/1983	0.08	E
07SB013	1	12/19/1983	0.079	E
07SB013	1	12/20/1983	0.078	A
07SB013	1	12/21/1983	0.077	E
07SB013	1	12/22/1983	0.075	A
07SB013	1	12/23/1983	0.073	E
07SB013	1	12/24/1983	0.072	E
07SB013	1	12/25/1983	0.071	E
07SB013	1	12/26/1983	0.07	E
07SB013	1	12/27/1983	0.069	E
07SB013	1	12/28/1983	0.068	E
07SB013	1	12/29/1983	0.067	E
07SB013	1	12/30/1983	0.066	E
07SB013	1	12/31/1983	0.065	E
07SB013	1	1/1/1984	0.064	E
07SB013	1	1/2/1984	0.064	E
07SB013	1	1/3/1984	0.063	E
07SB013	1	1/4/1984	0.063	E
07SB013	1	1/5/1984	0.062	E
07SB013	1	1/6/1984	0.062	E
07SB013	1	1/7/1984	0.062	E
07SB013	1	1/8/1984	0.061	E
07SB013	1	1/9/1984	0.06	E
07SB013	1	1/10/1984	0.06	E
07SB013	1	1/11/1984	0.06	E
07SB013	1	1/12/1984	0.059	E
07SB013	1	1/13/1984	0.059	E
07SB013	1	1/14/1984	0.059	E
07SB013	1	1/15/1984	0.059	E
07SB013	1	1/16/1984	0.059	E
07SB013	1	1/17/1984	0.058	E
07SB013	1	1/18/1984	0.058	A
07SB013	1	1/19/1984	0.058	E
