"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.78","60.84","HAY RIVER A","2202400","2013-01-01","2013","01","01","","-14.9","","-22.7","","-18.8","","36.8","","0.0","","0.0","","0.6","","0.2","","34","","30","E","32","E"
"-115.78","60.84","HAY RIVER A","2202400","2013-01-02","2013","01","02","","-1.4","","-22.4","","-11.9","","29.9","","0.0","","0.0","","0.0","","0.0","","33","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2013-01-03","2013","01","03","","-1.0","","-20.6","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","32","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2013-01-04","2013","01","04","","-12.5","","-24.3","","-18.4","","36.4","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2013-01-05","2013","01","05","","-11.2","","-16.7","","-14.0","","32.0","","0.0","","0.0","","4.6","","4.0","","36","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2013-01-06","2013","01","06","","-13.5","","-16.1","","-14.8","","32.8","","0.0","","0.0","","1.0","","0.2","","36","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2013-01-07","2013","01","07","","-14.2","","-20.2","","-17.2","","35.2","","0.0","","0.0","","1.4","","0.8","","39","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2013-01-08","2013","01","08","","-17.5","","-25.5","","-21.5","","39.5","","0.0","","0.0","","0.4","","0.2","","39","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2013-01-09","2013","01","09","","-21.3","","-27.3","","-24.3","","42.3","","0.0","","0.0","","0.0","T","0.0","T","39","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2013-01-10","2013","01","10","","-21.2","","-27.2","","-24.2","","42.2","","0.0","","0.0","","0.0","T","0.0","T","39","","","","<31",""
