datetime,station,date,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh,era5_noon_t2m,era5_noon_evavt,era5_noon_ro,era5_noon_sd,era5_noon_es,era5_noon_sf,era5_noon_smlt,era5_noon_stl1,era5_noon_ssr,era5_noon_e,era5_noon_tp
2013-01-01,06JB001,1/1/2013,,-20.1,-25.0,-22.6,40.6,0.0,,,0.4,0.4,,<31,248.60996879515466,2.1660343393153722e-07,0.00024787681262350956,0.07705172592552512,4.030568164528105e-06,0.001210704541084122,-1.862645149230957e-09,268.2314021176287,8987.505789723205,4.230735974019969e-06,0.0012115714921510225
2013-01-02,06JB001,1/2/2013,,-17.8,-34.6,-26.2,44.2,0.0,,,0.4,0.4,,<31,239.44712714034853,-6.64589054116153e-07,0.00024547586302615086,0.0781537366022313,5.196908171698442e-06,0.0006110840491783575,-1.862645149230957e-09,268.35607264110524,12124.256625532315,4.509176091520015e-06,0.0006156844144581359
2013-01-03,06JB001,1/3/2013,,-13.8,-28.7,-21.3,39.3,0.0,,,,,,<31,249.78868512678616,3.2502051069389232e-06,0.00024332852530141016,0.08110380483787491,6.193453370470925e-05,0.0023923790288105365,-1.862645149230957e-09,268.70840613051416,13761.811265671799,6.559665991519394e-05,0.002395319576373907
2013-01-04,06JB001,1/4/2013,,-20.4,-25.4,-22.9,40.9,0.0,,,0.0,0.0,30.0,56,248.3388427913956,-2.3783300320399057e-07,0.00024101669053889192,0.08121077789928843,3.4627828434695876e-05,6.51417253234148e-05,-1.862645149230957e-09,268.60546120467137,12631.55860231276,3.444406558642687e-05,7.021400694071019e-05
2013-01-05,06JB001,1/5/2013,,-20.7,-26.2,-23.5,41.5,0.0,,,0.0,0.0,29.0,44,242.5601727698149,-8.736520805004655e-07,0.00023862259639342555,0.08159678215114072,9.126456041974319e-06,0.0001568222212349787,-1.862645149230957e-09,268.46616786546525,14451.112101878603,8.257021161866825e-06,0.00016005247627527493
2013-01-06,06JB001,1/6/2013,,-18.9,-31.0,-25.0,43.0,0.0,,,0.0,0.0,30.0,33,237.89933785241774,-4.011080358689537e-07,0.00023624906546569876,0.08165580085913804,1.71429546896214e-05,7.5789050135078274e-06,-1.862645149230957e-09,268.2013039210406,19123.062092690878,1.6934412401728582e-05,9.550961280846737e-06
2013-01-07,06JB001,1/7/2013,,-30.0,-36.5,-33.3,51.3,0.0,,,0.2,0.2,,<31,236.94387117262085,-1.5152202188817556e-07,0.00023416342390616664,0.08169466419888037,1.573686067644615e-05,1.3011473101788005e-05,-1.862645149230957e-09,267.9267170157845,21325.311265671797,1.5931332386959926e-05,1.4956034802873307e-05
2013-01-08,06JB001,1/8/2013,,-36.4,-40.0,-38.2,56.2,0.0,,,0.0,0.0,,<31,232.03722739151553,-4.011080358689537e-07,0.00023178989297843985,0.08173189547085685,1.3093545995159005e-05,8.374458217048775e-06,-1.862645149230957e-09,267.6371630965089,24261.81294608005,1.3022156096202951e-05,1.1089029656443518e-05
2013-01-09,06JB001,1/9/2013,,-37.1,-41.3,-39.2,57.2,0.0,,,0.0,0.0,,<31,230.39376778283602,-1.969747245311737e-07,0.00022939563111094456,0.08174521324481086,7.226307683235055e-06,3.7870280308974274e-07,-1.862645149230957e-09,267.28879072519425,25556.311840662507,7.08062773268323e-06,0.0
2013-01-10,06JB001,1/10/2013,,-32.4,-38.8,-35.6,53.6,0.0,,,0.0,0.0,26.0,41,237.9830548086167,2.756531279053568e-07,0.00022733757587758242,0.08177281345492075,1.8697050744801347e-05,3.5595053303402477e-06,-1.862645149230957e-09,267.1255123763937,27153.81294608005,1.918237081684479e-05,5.61017299668917e-06
2013-01-11,06JB001,1/11/2013,,-26.7,-32.7,-29.7,47.7,0.0,,,0.0,0.0,26.0,37,243.23967908308296,1.1156427787081343e-06,0.00022493578807427462,0.08189405839159511,4.009692135135084e-05,5.833926242544042e-05,-1.862645149230957e-09,267.2577017912639,27376.225329912162,4.1489129151342814e-05,6.31207424255072e-05
2013-01-12,06JB001,1/12/2013,,-25.2,-38.1,-31.7,49.7,0.0,,,0.4,0.4,1.0,39,244.97584072034923,5.20647135185448e-07,0.00022256911259844014,0.08275083761646962,1.8685569965825006e-05,0.0007955241348593365,-1.862645149230957e-09,267.4550150138701,26419.610421470356,1.9332952204211808e-05,0.0008029616706842324
2013-01-13,06JB001,1/13/2013,,-33.7,-40.5,-37.1,55.1,0.0,,,0.2,0.2,,<31,240.63868016315308,-6.464093722942888e-07,0.00022016816300108143,0.08291996938112846,1.1809392328976217e-05,0.00010838648400894607,-1.862645149230957e-09,267.3375645432785,25774.361257279463,1.1134339399790126e-05,0.00011145516651927501
2013-01-14,06JB001,1/14/2013,,-39.9,-43.8,-41.9,59.9,0.0,,,0.0,0.0,,<31,229.70439966145526,-8.6910663580711e-07,0.0002177946315494879,0.08295166598307022,6.803133395493354e-06,5.252659320831299e-07,-1.862645149230957e-09,266.96983813421684,41519.86987677459,6.0958343789084176e-06,1.8775463104248047e-06
2013-01-15,06JB001,1/15/2013,,-40.8,-43.0,-41.9,59.9,0.0,,,0.0,0.0,32.0,41,231.53412260955838,3.026798367500305e-08,0.00021564729434861394,0.08300938580496298,1.06159387933373e-05,3.892348141966614e-05,-1.862645149230957e-09,266.59673210199384,46351.97553148114,1.0683030680071799e-05,4.302474012249781e-05
2013-01-16,06JB001,1/16/2013,,-34.5,-41.8,-38.2,56.2,0.0,,,0.0,0.0,31.0,54,236.53034814421608,4.3892817694115517e-07,0.000213335459062229,0.08305726518131898,2.2441055247124327e-05,1.530249847381328e-05,-1.862645149230957e-09,266.40706418892734,46729.860605459275,2.2999164554631363e-05,1.934581172592814e-05
2013-01-17,06JB001,1/17/2013,,-36.2,-40.2,-38.2,56.2,0.0,,,0.0,0.0,30.0,41,236.42185706956354,2.575106918811798e-07,0.0002109345094648703,0.08310268907294022,1.828112768738168e-05,1.1533594603504918e-06,-1.862645149230957e-09,266.4158393309308,58871.86987677459,1.861249409733461e-05,2.9834507468955812e-06
