,LR,Hidden_Layer_Size,Val_R2
0,0.1,100,0.5152684183938219
1,0.1,300,0.5653370404437208
2,0.1,500,0.60617839749092
3,0.1,700,0.5987969813585918
4,0.1,900,0.6271579750613117
5,0.01,100,0.5704020185956602
6,0.01,300,0.6367156277958843
7,0.01,500,0.6491053980027449
8,0.01,700,0.6386047411505249
9,0.01,900,0.6268015887572881
10,0.001,100,0.565019166536824
11,0.001,300,0.628372420966093
12,0.001,500,0.6489055481417048
13,0.001,700,0.6291979939423973
14,0.001,900,0.6148210395915547
15,0.0001,100,0.5731420264642803
16,0.0001,300,0.6220211280335954
17,0.0001,500,0.6549245567012667
18,0.0001,700,0.6241774657260726
19,0.0001,900,0.6156499299284597
