datetime,station,date,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh
2009-01-01,07OB001,1/1/2009,13.3,-28.1,-35.4,-31.8,49.8,0.0,0.0,0.8,0.4,0.4,,<31
2009-01-02,07OB001,1/2/2009,12.9,-31.0,-37.3,-34.2,52.2,0.0,0.0,0.2,0.2,0.2,,<31
2009-01-03,07OB001,1/3/2009,12.5,-30.4,-36.5,-33.5,51.5,0.0,0.0,0.0,0.0,0.0,,<31
2009-01-04,07OB001,1/4/2009,12.1,-25.3,-37.0,-31.2,49.2,0.0,0.0,0.0,0.0,0.0,,<31
2009-01-05,07OB001,1/5/2009,11.8,-19.9,-26.4,-23.2,41.2,0.0,0.0,5.4,4.0,4.0,,<31
2009-01-06,07OB001,1/6/2009,11.7,-24.4,-28.6,-26.5,44.5,0.0,0.0,5.8,3.4,3.4,,<31
2009-01-07,07OB001,1/7/2009,11.4,-28.6,-36.8,-32.7,50.7,0.0,0.0,0.8,0.2,0.2,,<31
2009-01-08,07OB001,1/8/2009,10.8,-27.3,-33.0,-30.2,48.2,0.0,0.0,0.8,0.2,0.2,,<31
2009-01-09,07OB001,1/9/2009,10.7,-29.3,-36.2,-32.8,50.8,0.0,0.0,0.0,0.0,0.0,,<31
2009-01-10,07OB001,1/10/2009,10.5,-26.8,-36.3,-31.6,49.6,0.0,0.0,0.0,0.0,0.0,,<31
2009-01-11,07OB001,1/11/2009,10.4,-31.3,-39.3,-35.3,53.3,0.0,0.0,0.0,0.0,0.0,,<31
2009-01-12,07OB001,1/12/2009,10.2,-24.1,-42.0,-33.1,51.1,0.0,0.0,0.0,0.0,0.0,,<31
2009-01-13,07OB001,1/13/2009,9.9,-23.9,-36.9,-30.4,48.4,0.0,0.0,0.0,0.0,0.0,,<31
2009-01-14,07OB001,1/14/2009,9.54,-18.6,-36.2,-27.4,45.4,0.0,0.0,1.0,0.4,0.4,,<31
