,LR,Hidden_Layer_Size,Val_R2
0,0.1,100,0.6341183725429647
1,0.1,300,0.6466413542180152
2,0.1,500,0.6743561718384239
3,0.1,700,0.7091118481994112
4,0.1,900,0.6454910616168212
5,0.01,100,0.6312097289617681
6,0.01,300,0.6447786840655998
7,0.01,500,0.67714803263346
8,0.01,700,0.70975042086587
9,0.01,900,0.7104282460226028
10,0.001,100,0.6227560893499671
11,0.001,300,0.6462349527683968
12,0.001,500,0.6668987875305175
13,0.001,700,0.7103222989401077
14,0.001,900,0.7108549120832472
15,0.0001,100,0.6259126236468496
16,0.0001,300,0.6636079182602392
17,0.0001,500,0.6643492750978379
18,0.0001,700,0.7063496178641714
19,0.0001,900,0.707580327603753
