datetime,station,date,day_of_year,station_id,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh,era5_noon_t2m,era5_noon_evavt,era5_noon_ro,era5_noon_sd,era5_noon_es,era5_noon_sf,era5_noon_smlt,era5_noon_stl1,era5_noon_ssr,era5_noon_e,era5_noon_tp
1/1/2013,06JB001,1/1/2013,1,3,,-20.1,-25,-22.6,40.6,0,,,0.4,0.4,,<31,248.6099688,2.17E-07,0.000247877,0.077051726,4.03E-06,0.001210705,-1.86E-09,268.2314021,8987.50579,4.23E-06,0.001211571
1/2/2013,06JB001,1/2/2013,2,3,,-17.8,-34.6,-26.2,44.2,0,,,0.4,0.4,,<31,239.4471271,-6.65E-07,0.000245476,0.078153737,5.20E-06,0.000611084,-1.86E-09,268.3560726,12124.25663,4.51E-06,0.000615684
1/3/2013,06JB001,1/3/2013,3,3,,-13.8,-28.7,-21.3,39.3,0,,,,,,<31,249.7886851,3.25E-06,0.000243329,0.081103805,6.19E-05,0.002392379,-1.86E-09,268.7084061,13761.81127,6.56E-05,0.00239532
1/4/2013,06JB001,1/4/2013,4,3,,-20.4,-25.4,-22.9,40.9,0,,,0,0,30,56,248.3388428,-2.38E-07,0.000241017,0.081210778,3.46E-05,6.51E-05,-1.86E-09,268.6054612,12631.5586,3.44E-05,7.02E-05
1/5/2013,06JB001,1/5/2013,5,3,,-20.7,-26.2,-23.5,41.5,0,,,0,0,29,44,242.5601728,-8.74E-07,0.000238623,0.081596782,9.13E-06,0.000156822,-1.86E-09,268.4661679,14451.1121,8.26E-06,0.000160052
1/6/2013,06JB001,1/6/2013,6,3,,-18.9,-31,-25,43,0,,,0,0,30,33,237.8993379,-4.01E-07,0.000236249,0.081655801,1.71E-05,7.58E-06,-1.86E-09,268.2013039,19123.06209,1.69E-05,9.55E-06
1/7/2013,06JB001,1/7/2013,7,3,,-30,-36.5,-33.3,51.3,0,,,0.2,0.2,,<31,236.9438712,-1.52E-07,0.000234163,0.081694664,1.57E-05,1.30E-05,-1.86E-09,267.926717,21325.31127,1.59E-05,1.50E-05
1/8/2013,06JB001,1/8/2013,8,3,,-36.4,-40,-38.2,56.2,0,,,0,0,,<31,232.0372274,-4.01E-07,0.00023179,0.081731895,1.31E-05,8.37E-06,-1.86E-09,267.6371631,24261.81295,1.30E-05,1.11E-05
1/9/2013,06JB001,1/9/2013,9,3,,-37.1,-41.3,-39.2,57.2,0,,,0,0,,<31,230.3937678,-1.97E-07,0.000229396,0.081745213,7.23E-06,3.79E-07,-1.86E-09,267.2887907,25556.31184,7.08E-06,0
1/10/2013,06JB001,1/10/2013,10,3,,-32.4,-38.8,-35.6,53.6,0,,,0,0,26,41,237.9830548,2.76E-07,0.000227338,0.081772813,1.87E-05,3.56E-06,-1.86E-09,267.1255124,27153.81295,1.92E-05,5.61E-06
